chinese	english
資管系人工智慧與電子商務組	Artificial Intelligence and E-Commerce Group, Department of Asset Management
資管系大數據與雲端運算組	Big Data and Cloud Computing Group, Department of Asset Management
資管與財金學系	Department of Asset Management and Finance
資管與財金學系財務金融組	Finance Group, Department of Asset Management and Finance
資管與財金學系資訊管理組	Information Management Section, Department of Asset Management and Finance
資訊傳播學系	Department of Information and Communication
資訊傳播學系(數位媒體設計-創作組)	Department of Information and Communication (Digital Media Design-Creation Group)
資訊傳播學系(數位媒體設計-美術組)	Department of Information and Communication (Digital Media Design-Art Group)
資訊傳播學系(新媒體傳播內容組)	Department of Information and Communication (New Media Communication Content Group)
資訊傳播學系(新媒體傳播組)	Department of Information and Communication (New Media Communication Group)
資訊傳播學系(智慧傳播應用組)	Department of Information and Communication (Smart Communication Application Group)
資訊傳播學系(智慧科技應用組)	Department of Information and Communication (Smart Technology Application Group)
資訊傳播學系新媒體傳播內容組	New Media Communication Content Group, Department of Information and Communication
資訊傳播學系智慧傳播應用組	Smart Communication Application Group, Department of Information and Communication
資訊傳播學系科	Department of Information and Communication
資訊傳播學系科技組	Technology Section, Department of Information and Communication
資訊傳播學系科技組(互動媒體與遊戲設	Department of Information and Communication Technology Group (Interactive Media and Game Design
資訊傳播學系科技組(智慧科技應用)	Technology Group, Department of Information and Communication (Smart Technology Application)
資訊傳播學系設計組	Department of Information and Communication Design Group
資訊傳播學系設計組(創作組)	Department of Information and Communication Design Group (Creative Group)
資訊傳播學系設計組(美術組)	Design Group (Art Group), Department of Information and Communication
資訊傳播工程學系	Department of Information and Communication Engineering
資訊傳播工程學系(互動科技整合設計	Department of Information and Communication Engineering (Interactive Technology Integrated Design
資訊傳播工程學系(人工智慧互動科技	Department of Information and Communication Engineering (Artificial Intelligence Interactive Technology
資訊傳播工程學系(人工智慧與互動科技	Department of Information Communication Engineering (Artificial Intelligence and Interactive Technology
資訊傳播工程學系(人工智慧與遊戲設計	Department of Information Communication Engineering (Artificial Intelligence and Game Design
資訊傳播工程學系(元宇宙多媒體遊戲	Department of Information Communication Engineering (Yuanverse Multimedia Game
資訊傳播工程學系(元宇宙應用創作組)	Department of Information Communication Engineering (Yuanverse Application Creation Group)
資訊傳播工程學系(桃園校區)	Department of Information and Communication Engineering (Taoyuan Campus)
資訊傳播工程學系(虛擬實境多媒體應用	Department of Information Communication Engineering (Virtual Reality Multimedia Application
資訊傳播工程學系【外加】	Department of Information and Communication Engineering【Additional】
資訊傳播工程學系互動媒體科	Department of Information and Communication Engineering, Interactive Media Section
資訊傳播工程學系互動媒體科技組(桃園	Interactive Media Technology Group, Department of Information and Communication Engineering (Taoyuan
資訊傳播工程學系人工智慧應用組(桃園	Artificial Intelligence Application Group, Department of Information and Communication Engineering (Taoyuan
資訊傳播工程學系（桃園）	Department of Information and Communication Engineering (Taoyuan)
資訊傳播工程系(動畫設計組)	Department of Information and Communication Engineering (Animation Design Group)
資訊傳播工程系(遊戲開發組)	Department of Information and Communication Engineering (Game Development Group)
資訊傳播系	Department of Information and Communication
資訊傳播系(智慧傳播應用組)	Department of Information Communication (Smart Communication Application Group)
資訊傳播系影視傳播設計組	Department of Information and Communication Film and Television Communication Design Group
資訊傳播系數位媒體設計組	Information Communication Coefficient Media Design Group
資訊傳播與行銷系	Department of Information Communication and Marketing
資訊創新與科技系	Department of Information Innovation and Technology
資訊創新與科技系應用資訊組	Applied Information Group, Department of Information Innovation and Technology
資訊創新與科技系軟體工程組	Software Engineering Group, Department of Information Innovation and Technology
資訊多媒體應用系	Department of Information Multimedia Applications
資訊學院英語學士班	Bachelor's Degree in English, School of Information
資訊工程學糸(資訊工程組)	Information Engineering (Information Engineering Group)
資訊工程學系	Department of Information Engineering
資訊工程學系(A組)	Department of Information Engineering (Group A)
資訊工程學系(B組)	Department of Information Engineering (Group B)
資訊工程學系(乙組)	Department of Information Engineering (Group B)
資訊工程學系(人工智慧組)	Department of Information Engineering (Artificial Intelligence Group)
資訊工程學系(人工智慧與機器人組)	Department of Information Engineering (Artificial Intelligence and Robotics Group)
資訊工程學系(人工智慧與網路技術組)	Department of Information Engineering (Artificial Intelligence and Network Technology Group)
資訊工程學系(公費)-臺南市	Department of Information Engineering (publicly funded)-Tainan City
資訊工程學系(半導體資訊組)	Department of Information Engineering (Semiconductor Information Group)
資訊工程學系(數位內容與遊戲設計組)	Department of Information Engineering (Digital Content and Game Design Group)
資訊工程學系(普渡雙聯組)	Department of Information Engineering (Purdue Dual Group)
資訊工程學系(智慧晶片與機器人組)	Department of Information Engineering (Smart Chip and Robot Group)
資訊工程學系(智慧物聯網與軟體工程	Department of Information Engineering (Smart Internet of Things and Software Engineering
資訊工程學系(智慧生活與服務設計組)	Department of Information Engineering (Smart Life and Service Design Group)
資訊工程學系(智慧電子組)	Department of Information Engineering (Smart Electronics Group)
資訊工程學系(智慧電子與IC設計組)	Department of Information Engineering (Smart Electronics and IC Design Group)
資訊工程學系(智慧電子與數位系統設計	Department of Information Engineering (Intelligent Electronics and Digital System Design
資訊工程學系(桃園校區)	Department of Information Engineering (Taoyuan Campus)
資訊工程學系(物聯網與大數據組)	Department of Information Engineering (Internet of Things and Big Data Group)
資訊工程學系(甲組)	Department of Information Engineering (Group A)
資訊工程學系(自費)	Department of Information Engineering (self-funded)
資訊工程學系(資訊工程組)	Department of Information Engineering (Information Engineering Section)
資訊工程學系(資訊應用組)	Department of Information Engineering (Information Application Group)
資訊工程學系(資電工程組)	Department of Information Engineering (Information Engineering Group)
資訊工程學系(軟體工程組)	Department of Information Engineering (Software Engineering Group)
資訊工程學系-社會組	Department of Information Engineering-Social Section
資訊工程學系-自然組	Department of Information Engineering-Natural Group
資訊工程學系A組	Department of Information Engineering Group A
資訊工程學系B組	Department of Information Engineering Group B
資訊工程學系【外加】	Department of Information Engineering【Additional】
資訊工程學系丙組(人工智慧組)	Department of Information Engineering Group C (Artificial Intelligence Group)
資訊工程學系乙組	Department of Information Engineering Group B
資訊工程學系乙組(資訊工程組)	Department of Information Engineering Group B (Information Engineering Group)
資訊工程學系人工智慧應用組	Artificial Intelligence Application Group, Department of Information Engineering
資訊工程學系人工智慧組	Artificial Intelligence Group, Department of Information Engineering
資訊工程學系全英語學士班	Bachelor's degree program in English in the Department of Information Engineering
資訊工程學系國際組	Department of Information Engineering International Section
資訊工程學系多媒體遊戲設計組	Multimedia Game Design Group, Department of Information Engineering
資訊工程學系數位內容與遊戲設計組	Information Engineering Department Digital Content and Game Design Group
資訊工程學系數位創意組	Information Engineering Department Digital Creative Group
資訊工程學系智慧產業樂齡組	Department of Information Engineering Smart Industry Senior Group
資訊工程學系智慧軟體設計組	Intelligent Software Design Group, Department of Information Engineering
資訊工程學系智慧電子組	Smart Electronics Group, Department of Information Engineering
資訊工程學系生醫資電組	Department of Information Engineering, Biomedical Information and Electronics Section
資訊工程學系甲組	Department of Information Engineering Group A
資訊工程學系甲組(電子資訊組)	Department of Information Engineering Group A (Electronic Information Group)
資訊工程學系社會組	Information Engineering Department Social Section
資訊工程學系自然組	Department of Information Engineering Natural Group
資訊工程學系資工組	Information Engineering Department Staff Section
資訊工程學系資訊工程組	Information Engineering Group, Department of Information Engineering
資訊工程學系資訊應用組	Information Application Group, Department of Information Engineering
資訊工程學系資電工程組	Information Engineering Group, Department of Information Engineering
資訊工程學系軟體工程組	Software Engineering Group, Department of Information Engineering
資訊工程學系（桃園）	Department of Information Engineering (Taoyuan)
資訊工程學魚(資訊應用純)	Information Engineering Fish (Pure Information Application)
資訊工程系	Department of Information Engineering
資訊工程系(數位遊戲設計組)	Department of Information Engineering (Digital Game Design Group)
資訊工程系(智慧軟體設計組)	Department of Information Engineering (Intelligent Software Design Group)
資訊工程系丙組(人工智慧組)	Department of Information Engineering Group C (Artificial Intelligence Group)
資訊工程系乙組(資訊工程組)	Department of Information Engineering Group B (Information Engineering Group)
資訊工程系人工智慧應用組	Artificial Intelligence Application Group, Department of Information Engineering
資訊工程系人工智慧組	Artificial Intelligence Group, Department of Information Engineering
資訊工程系人工智慧與遊戲設計組	Artificial Intelligence and Game Design Group, Department of Information Engineering
資訊工程系智慧科	Department of Information Engineering, Intelligence Section
資訊工程系智慧科技應用組	Smart Technology Application Group, Department of Information Engineering
資訊工程系甲組(電子資訊組)	Information Engineering Department Group A (Electronic Information Group)
資訊工程系系	Department of Information Engineering
資訊工程系系統與網路工程組	System and Network Engineering Group, Department of Information Engineering
資訊工程系資電工程組	Information Engineering Group, Department of Information Engineering
資訊工程系遊戲設計與競技組	Game Design and Competition Group, Department of Information Engineering
資訊工程系電機控制組	Motor Control Group, Department of Information Engineering
資訊工程系（台北校區）	Department of Information Engineering (Taipei Campus)
資訊工程系（建工校區）	Department of Information Engineering (Jiangong Campus)
資訊工程系（新竹校區）	Department of Information Engineering (Hsinchu Campus)
資訊工程系（臺北校區）	Department of Information Engineering (Taipei Campus)
資訊工程與娛樂科技系	Department of Information Engineering and Entertainment Technology
資訊應用學系	Department of Information Application
資訊應用學系(動畫與數位內容組)	Department of Information Application (Animation and Digital Content Group)
資訊應用學系(動畫與視覺特效組)	Department of Information Application (Animation and Visual Effects Group)
資訊應用學系(數位遊戲開發組)	Department of Information Application (Digital Game Development Group)
資訊應用學系(虛擬製作與互動科技組)	Department of Information Application (Virtual Production and Interactive Technology Group)
資訊應用學系(資訊系統與AI應用組)	Department of Information Application (Information Systems and AI Application Group)
資訊應用學系(資訊系統與智慧應用組)	Department of Information Application (Information Systems and Intelligent Application Group)
資訊應用系(動畫數位內容組)	Department of Information Application (Animation Digital Content Group)
資訊應用系(數位遊戲開發組)	Department of Information Application (Digital Game Development Group)
資訊應用系(系統智慧應用組)	Information Application Department (System Intelligence Application Group)
資訊應用系(網路與多媒體組)	Department of Information Application (Internet and Multimedia Group)
資訊應用與金融保險學系	Department of Information Application and Finance and Insurance
資訊應用與金融保險學系資訊組(台北校	Information Section, Department of Information Application and Finance and Insurance (Taipei Campus
資訊應用與金融保險學系金融組(台北校	Finance Section, Department of Information Application and Finance and Insurance (Taipei Campus
資訊暨設計學院	School of Information and Design
資訊暨設計學院互動設計組	Interactive Design Group, School of Information and Design
資訊暨設計學院媒體設計組	Media Design Group, School of Information and Design
資訊暨設計學院學士班	Bachelor's Degree, School of Information and Design
資訊暨設計學院學士班(不分系)	Bachelor's program of School of Information and Design (regardless of department)
資訊暨設計學院學士班互動設計組	Interaction Design Group, Bachelor's Degree, School of Information and Design
資訊暨設計學院學士班數位媒體設計組	Digital Media Design Group, Bachelor's Degree, School of Information and Design
資訊暨設計學院學士班資訊工程組	Information Engineering Group, Bachelor's Program, School of Information and Design
資訊暨設計學院學士班資訊管理組	Information Management Group, Bachelor's Program, School of Information and Design
資訊暨設計學院數位設計組	Digital Design Group, School of Information and Design
資訊暨設計學院資訊工程組	Information Engineering Group, School of Information and Design
資訊暨設計學院資訊管理組	Information Management Group, School of Information and Design
資訊模擬與設計學系AR/VR體感科	AR/VR Somatosensory Department, Department of Information Simulation and Design
資訊模擬與設計學系AR/VR體感科技組	AR/VR Somatosensory Technology Group, Department of Information Simulation and Design
資訊模擬與設計學系AR/VR體感科技組(高雄校區)	AR/VR Somatosensory Technology Group, Department of Information Simulation and Design (Kaohsiung Campus)
資訊模擬與設計學系互動遊戲設計組(高	Interactive Game Design Group (High School), Department of Information Simulation and Design
資訊模擬與設計學系互動遊戲設計組(高雄校區)	Interactive Game Design Group, Department of Information Simulation and Design (Kaohsiung Campus)
資訊模擬與設計學系互動遊戲設計與虛	Department of Information Simulation and Design Interactive Game Design and Virtual
資訊模擬與設計學系數位3D動畫設計組	Information Simulation and Design Department Digital 3D Animation Design Group
資訊模擬與設計學系數位3D動畫設計組(高雄校區)	Department of Information Simulation and Design Bachelor’s Degree 3D Animation Design Group (Kaohsiung Campus)
資訊模擬與設計學系遊戲美術設計組(高	Game Art Design Group, Department of Information Simulation and Design (High School
資訊模擬與設計學系遊戲美術設計組(高雄校區)	Game Art Design Group, Department of Information Simulation and Design (Kaohsiung Campus)
資訊模擬與設計學系遊戲美術設計與3D	Department of Information Simulation and Design Game Art Design and 3D
資訊模擬與設計系	Department of Information Simulation and Design
資訊模擬與設計系互動遊戲組	Interactive Game Group, Department of Information Simulation and Design
資訊模擬與設計系電腦動畫組	Computer Animation Group, Department of Information Simulation and Design
資訊模擬設計系AR/VR科	AR/VR Section, Department of Information Simulation Design
資訊模擬設計系AR/VR科技組	AR/VR Technology Group, Department of Information Simulation Design
資訊科學系	Department of Information Science
資訊科學系(人工智慧組)	Department of Information Science (Artificial Intelligence Group)
資訊科學與工程學系	Department of Information Science and Engineering
資訊科技應用系	Department of Information Technology Applications
資訊科技應用與管理學位學程	Information Technology Application and Management Degree Program
資訊科技應用與管理學士學位學程	Bachelor's Degree Program in Information Technology Application and Management
資訊科技應用與管理學士學位學程(全英	Bachelor's Degree in Information Technology Application and Management (Full English
資訊科技應用與管理學士學位學程（全英語授課．桃園）	Bachelor's Degree Program in Information Technology Application and Management (Taught entirely in English. Taoyuan)
資訊科技系	Department of Information Technology
資訊科技系智慧製造科	Intelligent Manufacturing Section, Department of Information Technology
資訊科技系智慧製造科技組	Smart Manufacturing Technology Group, Department of Information Technology
資訊科技系網路管理與雲端應用組	Network Management and Cloud Application Group, Department of Information Technology
資訊科技系行動與系	Information Technology Department Action &amp;
資訊科技系行動與系統應用組	Mobile and System Application Group, Department of Information Technology
資訊科技與管理學系	Department of Information Technology and Management
資訊科技與管理學系(臺北)	Department of Information Technology and Management (Taipei)
資訊科技與管理學系(臺北校區)	Department of Information Technology and Management (Taipei Campus)
資訊科技與管理學系人工智慧與大數據	Department of Information Technology and Management Artificial Intelligence and Big Data
資訊科技與管理學系元宇宙組(臺北校	Yuan Universe Group, Department of Information Technology and Management (Taipei Campus
資訊科技與管理學系數位媒體設計組(臺	Department of Information Technology and Management Digital Media Design Group (Taiwan)
資訊科技與管理學系智慧商務組(臺北校	Smart Business Group, Department of Information Technology and Management (Taipei Campus
資訊科技與管理學系雲端運算組(臺北校	Cloud Computing Group, Department of Information Technology and Management (Taipei Campus
資訊科技與管理學系雲端運算與物聯網	Department of Information Technology and Management Cloud Computing and Internet of Things
資訊科技與管理系	Department of Information Technology and Management
資訊科技與通訊學系APP設計與物聯網	Department of Information Technology and Communications APP Design and Internet of Things
資訊科技與通訊學系App設計組(高雄校	App Design Group, Department of Information Technology and Communications (Kaohsiung Campus
資訊科技與通訊學系App設計組(高雄校區)	App Design Group, Department of Information Technology and Communications (Kaohsiung Campus)
資訊科技與通訊學系互動多媒體設計組(高雄校區)	Interactive Multimedia Design Group, Department of Information Technology and Communications (Kaohsiung Campus)
資訊科技與通訊學系人工智慧應用設計	Artificial Intelligence Application Design, Department of Information Technology and Communications
資訊科技與通訊學系人工智慧物聯網組	Artificial Intelligence and Internet of Things Group, Department of Information Technology and Communications
資訊科技與通訊學系人工智慧與機器人	Department of Information Technology and Communications Artificial Intelligence and Robotics
資訊科技與通訊學系人工智慧設計組(高雄校區)	Artificial Intelligence Design Group, Department of Information Technology and Communications (Kaohsiung Campus)
資訊科技與通訊學系智慧機器人組(高雄校區)	Intelligent Robot Group, Department of Information Technology and Communications (Kaohsiung Campus)
資訊科技與通訊學系智慧機器人與無人	Department of Information Technology and Communications Intelligent Robots and Unmanned Vehicles
資訊科技與通訊學系無人機應用設計組(高雄校區)	UAV Application Design Group, Department of Information Technology and Communications (Kaohsiung Campus)
資訊科技與通訊系	Department of Information Technology and Communications
資訊科技與通訊系App設計組	Department of Information Technology and Communications App Design Group
資訊科技與通訊系人工智慧組	Artificial Intelligence Group, Department of Information Technology and Communications
資訊科技與通訊系無人機組	Department of Information Technology and Communications Drone Group
資訊管理學系	Department of Information Management
資訊管理學系(A組)	Department of Information Management (Group A)
資訊管理學系(B組)	Department of Information Management (Group B)
資訊管理學系(C組)	Department of Information Management (Group C)
資訊管理學系(人工智慧應用組)	Department of Information Management (Artificial Intelligence Application Group)
資訊管理學系(人工智慧應用與資訊系統	Department of Information Management (Artificial Intelligence Application and Information Systems
資訊管理學系(人工智慧組)	Department of Information Management (Artificial Intelligence Group)
資訊管理學系(人工智慧與大數據應用	Department of Information Management (Artificial Intelligence and Big Data Applications
資訊管理學系(巨量資料應用組)	Department of Information Management (Massive Data Application Group)
資訊管理學系(巨量資料管理組)	Department of Information Management (Massive Data Management Group)
資訊管理學系(手機軟體設計組)	Department of Information Management (Mobile Software Design Group)
資訊管理學系(數位行銷與電子商務應用	Department of Information Management (Digital Marketing and E-Commerce Application
資訊管理學系(數位行銷與電子商務應用組)	Department of Information Management (Digital Marketing and E-Commerce Application Group)
資訊管理學系(數位金融科技組)	Department of Information Management (Digital Financial Technology Group)
資訊管理學系(數據分析與創新組)	Department of Information Management (Data Analysis and Innovation Group)
資訊管理學系(智慧商務應用組)	Department of Information Management (Smart Business Application Group)
資訊管理學系(智慧商務科技組)	Department of Information Management (Smart Business Technology Group)
資訊管理學系(智慧商務組)	Department of Information Management (Smart Business Group)
資訊管理學系(智慧商務與資訊管理應用	Department of Information Management (Smart Business and Information Management Applications
資訊管理學系(物聯網應用組)	Department of Information Management (Internet of Things Application Group)
資訊管理學系(物聯網與大數據應用組)	Department of Information Management (Internet of Things and Big Data Application Group)
資訊管理學系(社會組)	Department of Information Management (Social Section)
資訊管理學系(社群商務應用組)	Department of Information Management (Social Business Application Group)
資訊管理學系(系統管理組)	Department of Information Management (System Management Group)
資訊管理學系(自然組)	Department of Information Management (Natural Group)
資訊管理學系(行動商務與智慧企業組)	Department of Information Management (Mobile Commerce and Smart Enterprise Group)
資訊管理學系(行動與雲端商務組)	Department of Information Management (Mobile and Cloud Business Group)
資訊管理學系(資訊管理應用組)	Department of Information Management (Information Management Application Group)
資訊管理學系(資訊系統設計組)	Department of Information Management (Information Systems Design Group)
資訊管理學系(資訊系統設計與智慧製造	Department of Information Management (Information System Design and Intelligent Manufacturing
資訊管理學系(軟體開發與物聯網應用	Department of Information Management (Software Development and Internet of Things Applications
資訊管理學系(雲端服務暨巨量資料組)	Department of Information Management (Cloud Services and Massive Data Group)
資訊管理學系(高雄校區)	Department of Information Management (Kaohsiung Campus)
資訊管理學系【外加】	Department of Information Management【Additional】
資訊管理學系人工智慧商務應用組(高雄	Artificial Intelligence Business Application Group, Department of Information Management (Kaohsiung
資訊管理學系人工智慧商務應用組(高雄校區)	Artificial Intelligence Business Application Group, Department of Information Management (Kaohsiung Campus)
資訊管理學系人工智慧應用組(桃園校	Artificial Intelligence Application Group, Department of Information Management (Taoyuan Campus
資訊管理學系人工智慧暨科	Department of Information Management Artificial Intelligence and Science
資訊管理學系人工智慧暨科技傳播組	Artificial Intelligence and Technology Communication Group, Department of Information Management
資訊管理學系人工智慧組	Artificial Intelligence Group, Department of Information Management
資訊管理學系人工智慧與大數據組	Artificial Intelligence and Big Data Group, Department of Information Management
資訊管理學系人工智慧與雲端應用組(高	Artificial Intelligence and Cloud Application Group (High School), Department of Information Management
資訊管理學系人工智慧與電子商務組	Artificial Intelligence and E-Commerce Group, Department of Information Management
資訊管理學系創新實務組	Innovation Practice Group, Department of Information Management
資訊管理學系創新服務組	Innovation Service Group, Department of Information Management
資訊管理學系大數據分析組	Big Data Analysis Group, Department of Information Management
資訊管理學系大數據與雲端運算組	Big Data and Cloud Computing Group, Department of Information Management
資訊管理學系巨量資料管理組	Mass Data Management Group, Department of Information Management
資訊管理學系巨量資料管理組(桃園校	Mass Data Management Group, Department of Information Management (Taoyuan Campus
資訊管理學系巨量資料管理組（桃園）	Mass Data Management Group, Department of Information Management (Taoyuan)
資訊管理學系數位內容科	Bachelor's Degree Content Section, Department of Information Management
資訊管理學系數位內容科技與管理組	Department of Information Management Bachelor's Degree Content Technology and Management Group
資訊管理學系數位商務應用組(高雄校	Graduate Business Application Group, Department of Information Management (Kaohsiung Campus
資訊管理學系數位商務應用組(高雄校區)	Graduate Business Application Group, Department of Information Management (Kaohsiung Campus)
資訊管理學系智慧商務組	Smart Business Group, Department of Information Management
資訊管理學系智慧網路應用組	Smart Network Application Group, Department of Information Management
資訊管理學系物聯網應用組(高雄校區)	Internet of Things Application Group, Department of Information Management (Kaohsiung Campus)
資訊管理學系社會組	Social Section, Department of Information Management
資訊管理學系網路科	Network Section, Department of Information Management
資訊管理學系網路科技組	Network Technology Group, Department of Information Management
資訊管理學系自然組	Department of Information Management Natural Group
資訊管理學系行動商務管理組	Mobile Business Management Group, Department of Information Management
資訊管理學系行動商務組	Mobile Business Group, Department of Information Management
資訊管理學系資安管理組	Information Security Management Section, Department of Information Management
資訊管理學系資管應用組	Asset Management Application Group, Department of Information Management
資訊管理學系資訊科	Information Section, Department of Information Management
資訊管理學系資訊科技組	Information Technology Section, Department of Information Management
資訊管理學系資訊管理組	Information Management Section, Department of Information Management
資訊管理學系雲端技術管理組	Cloud Technology Management Group, Department of Information Management
資訊管理學系雲端技術管理組(桃園校	Cloud Technology Management Group, Department of Information Management (Taoyuan Campus
資訊管理學系雲端技術管理組（桃園）	Cloud Technology Management Group, Department of Information Management (Taoyuan)
資訊管理學系雲端服務組	Cloud Services Group, Department of Information Management
資訊管理學系電商行銷組	E-commerce Marketing Group, Department of Information Management
資訊管理學系電子商務管理組	E-Commerce Management Group, Department of Information Management
資訊管理學系電子商務管理組(桃園校	E-commerce Management Group, Department of Information Management (Taoyuan Campus
資訊管理學系電子商務管理組（桃園）	E-Commerce Management Group, Department of Information Management (Taoyuan)
資訊管理學系電子商務組	Electronic Commerce Section, Department of Information Management
資訊管理學系電子商務與智慧物聯網組	E-commerce and Smart IoT Group, Department of Information Management
資訊管理學銷	information management education
資訊管理學銷(願景組)	Information Management Education (Vision Group)
資訊管理科	Information Management Division
資訊管理系	Department of Information Management
資訊管理系(巨量資料應用組)	Department of Information Management (Massive Data Application Group)
資訊管理系(應用軟體開發組)	Department of Information Management (Application Software Development Group)
資訊管理系(手機軟體設計組)	Department of Information Management (Mobile Software Design Group)
資訊管理系(智慧商務科技組)	Department of Information Management (Smart Business Technology Group)
資訊管理系(行動雲端商務組)	Department of Information Management (Mobile Cloud Business Group)
資訊管理系(資訊管理應用組)	Department of Information Management (Information Management Application Group)
資訊管理系(雲端巨量資料組)	Department of Information Management (Cloud Massive Data Group)
資訊管理系多媒體應用組	Multimedia Application Group, Department of Information Management
資訊管理系多媒體行動商務組	Multimedia Mobile Business Group, Department of Information Management
資訊管理系娛樂與網路應用組	Entertainment and Internet Application Group, Department of Information Management
資訊管理系數位多媒體組	Information Management Coefficient Multimedia Group
資訊管理系數位生活設計組	Information Management Coefficient Life Design Group
資訊管理系數位科	Bachelor of Science in Information Management
資訊管理系數位科技與管理組	Information Management Coefficient Digital Technology and Management Group
資訊管理系數位金融組(高雄)	Information Management Department Financial Group (Kaohsiung)
資訊管理系智慧商務組	Smart Business Group, Department of Information Management
資訊管理系行動商務設計組	Mobile Commerce Design Group, Department of Information Management
資訊管理系資訊應用組(高雄)	Information Application Group, Department of Information Management (Kaohsiung)
資訊管理系資訊管理應用組	Information Management Application Group, Department of Information Management
資訊管理系資訊管理組	Information Management Group, Department of Information Management
資訊管理系雲端資訊應用組	Cloud Information Application Group, Department of Information Management
資訊管理系電子商務與創業組	Electronic Commerce and Entrepreneurship Group, Department of Information Management
資訊管理系（台北校區）	Department of Information Management (Taipei Campus)
資訊管理系（新竹校區）	Department of Information Management (Hsinchu Campus)
資訊管理系（楠梓校區）	Department of Information Management (Nanzi Campus)
資訊管理系（燕巢校區）	Department of Information Management (Yanchao Campus)
資訊管理系（第一校區）	Department of Information Management (First Campus)
資訊管理系（臺北校區）	Department of Information Management (Taipei Campus)
資訊管理與財務金融學系	Department of Information Management and Finance
資訊管理與財務金融學系財務金融組	Finance Section, Department of Information Management and Finance
資訊管理與財務金融學系財務金融組(社	Finance Group, Department of Information Management and Finance (Social
資訊管理與財務金融學系資訊管理組	Information Management and Finance Department Information Management Group
資訊經營學系	Department of Information Management
資訊經營學系(乙組)	Department of Information Management (Group B)
資訊經營學系(甲組)	Department of Information Management (Group A)
資訊經營學系(社會組)	Department of Information Management (Social Section)
資訊經營學系(自然組)	Department of Information Management (Natural Group)
資訊網路工程系	Department of Information Network Engineering
資訊網路技術系	Department of Information Network Technology
資訊與圖書館學系	Department of Information and Library Science
資訊與網路通訊系	Department of Information and Network Communications
資訊與財金管理系	Department of Information and Financial Management
資訊與通訊系	Department of Information and Communications
資訊與電子商務管理系	Department of Information and E-Commerce Management
資訊設計學院學士班	Bachelor's Degree, School of Information Design
資訊設計學院學士班(不分系)	Bachelor's program of the School of Information Design (regardless of department)
資訊電機學院學士班	Bachelor's Degree, School of Information and Electrical Engineering
資訊電機學院學士班乙組	Group B, Bachelor's Class, School of Information and Electrical Engineering
資訊電機學院學士班甲組	Group A, Bachelor's Degree, School of Information and Electrical Engineering
跨域整合設計學士學位學程	Bachelor's Degree Program in Cross-Domain Integrated Design
身心整合與運動休閒產業學系	Department of Physical and Mental Integration and Sports and Leisure Industry
車輛工程系	Department of Vehicle Engineering
車輛工程系先進車輛組	Advanced Vehicle Group, Department of Vehicle Engineering
車輛科技與經營管理系	Department of Vehicle Technology and Operation Management
車輛與能源工程學士學位學程	Bachelor's Degree in Vehicle and Energy Engineering
軟體工程與管理學系	Department of Software Engineering and Management
輔仁大學	Fu Jen Catholic University
輔導與諮商學系	Department of Counseling and Counseling
輔導與諮商學系(公費)-高雄	Department of Counseling and Counseling (publicly funded)-Kaohsiung
輔導與諮商學系(自費)	Department of Counseling and Counseling (self-funded)
輔導與諮商學系學校輔導與諮商組	School Counseling and Counseling Section, Department of Counseling and Counseling
輔導與諮商學系社區輔導與諮商組	Community Counseling and Counseling Section, Department of Counseling and Counseling
輔導與諮商系學校輔導諮商組	School Counseling and Counseling Group, Department of Counseling and Counseling
輔導與諮商系社區輔導諮商組	Community Counseling and Counseling Group, Department of Counseling and Counseling
輔英科技大學	Fuying University of Science and Technology
輪機工程學系	Department of Marine Engineering
輪機工程學系動力工程組	Power Engineering Group, Department of Marine Engineering
輪機工程學系能源應用組	Energy Application Group, Department of Marine Engineering
輪機工程系	Department of Marine Engineering
輪機工程系（旗津校區）	Department of Marine Engineering (Cijin Campus)
農企業管理系	Department of Agricultural Enterprise Management
農園生產系	Farm Production Department
農業化學系	Department of Agricultural Chemistry
農業生物科技學系	Department of Agricultural Biotechnology
農業科技系	Department of Agricultural Science and Technology
農業經濟學系	Department of Agricultural Economics
農業經濟學系【外加】	Department of Agricultural Economics【Additional】
農藝學系	Department of Agronomy
通訊工程學系	Department of Communication Engineering
通訊工程學系乙組	Department of Communication Engineering Group B
通訊工程學系智慧網通科	Department of Communication Engineering, Intelligent Network Section
通訊工程學系智慧網通科技組	Smart Network Technology Group, Department of Communication Engineering
通訊工程學系智慧軟體應用組	Intelligent Software Application Group, Department of Communication Engineering
通訊工程學系甲組	Department of Communication Engineering Group A
通訊工程學系軟體應用服務組	Software Application Service Group, Department of Communication Engineering
通訊工程學系電機資訊組	Electrical Information Group, Department of Communication Engineering
通訊工程系	Department of Communication Engineering
通訊與導航工程學系	Department of Communication and Navigation Engineering
造形藝術學系	Department of Plastic Arts
造船及海洋工程系	Department of Shipbuilding and Marine Engineering
造船及海洋工程系（楠梓校區）	Department of Shipbuilding and Ocean Engineering (Nanzi Campus)
逢甲大學	fengjia university
遊戲系統創新設計系	Department of Game System Innovation Design
遊戲系統創新設計系（台北校區）	Department of Game System Innovation Design (Taipei Campus)
遊戲與動畫設計系	Department of Game and Animation Design
運動事業管理學系	Department of Sports Business Management
運動事業管理系	Department of Sports Business Management
運動休閒系	Department of Sports and Leisure
運動休閒與健康管理系	Department of Sports, Recreation and Health Management
運動保健學系A	Department of Sports and Health SciencesA
